regime_id,start_date,end_date,macro_group
1,2020-01-01,2020-03-23,0
2,2020-03-24,2020-06-12,3
3,2020-06-12,2020-09-10,0
4,2020-09-11,2020-12-18,2
5,2020-12-18,2021-05-04,0
6,2021-05-05,2021-07-16,2
7,2021-07-16,2021-09-21,1
8,2021-09-22,2021-12-21,3
9,2021-12-22,2022-02-28,3
10,2022-02-28,2022-05-19,2
11,2022-05-20,2022-07-27,2
12,2022-07-28,2022-10-27,0
13,2022-10-28,2023-01-19,3
14,2023-01-20,2023-03-28,0
15,2023-03-29,2023-06-26,3
16,2023-06-27,2023-09-26,0
17,2023-09-27,2024-01-05,2
18,2024-01-05,2024-05-09,0
19,2024-05-10,2024-08-12,2
20,2024-08-13,2024-10-14,2
21,2024-10-15,2025-01-06,2
22,2025-01-07,2025-03-10,2
23,2025-03-11,2025-05-26,2
24,2025-05-27,2025-07-25,2
25,2025-07-25,2025-12-05,2
